ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YBL107C	YBL107C	0.6026	NA	1	0.995	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YBL107C is not an essential gene
YOR356W	YOR356W	0.6021	1	NA	1.04	Mitochondrial protein with similarity to flavoprotein-type oxidoreductases; found in a large supramolecular complex with other mitochondrial dehydrogenases
YPR153W	YPR153W	0.6016	NA	2	0.971	Putative protein of unknown function
YGR134W	CAF130	0.6013	9	NA	0.938	Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation
YJR031C	GEA1	0.6012	5	1	1.007	Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; similar to but not functionally redundant with Gea2p
YBR131W	CCZ1	0.6011	1	2	0.997	Protein involved in vacuolar assembly, essential for autophagy and the cytoplasm-to-vacuole pathway
YKL136W	YKL136W	0.6011	NA	NA	1.077	Hypothetical protein
YJR020W	YJR020W	0.6011	NA	NA	1.024	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR218C	PYC2	0.6009	7	NA	0.848	Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate; highly similar to isoform Pyc1p but differentially regulated; mutations in the human homolog are associated with lactic acidosis
YDL078C	MDH3	0.6009	8	NA	1.001	Cytoplasmic malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle
YDR079W	PET100	0.6007	NA	NA	0.832	Chaperone that specifically facilitates the assembly of cytochrome c oxidase, integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme
YNL223W	ATG4	0.6006	1	NA	1.012	Cysteine protease required for autophagy; cleaves Atg8p to a form required for autophagosome and Cvt vesicle generation; mediates attachment of autophagosomes to microtubules through interactions with Tub1p and Tub2p
YNL199C	GCR2	0.6006	1	7	0.724	Transcriptional activator of genes involved in glycolysis; interacts and functions with the DNA-binding protein Gcr1p
YMR163C	YMR163C	0.6004	1	NA	1.024	Peroxisome-specific receptor important for peroxisome inheritance; co-fractionates with peroxisome membranes and co-localizes with peroxisomes in vivo; physically interacts with the myosin V motor Myo2p; INP2 is not an essential gene
YHL046C	PAU13	0.6003	NA	NA	0.999	Putative protein of unknown function; not an essential gene
YDR337W	MRPS28	0.6001	32	NA	0.562	Mitochondrial ribosomal protein of the small subunit
YMR279C	YMR279C	0.6001	NA	NA	NA	Putative protein of unknown function; identified as a heat-induced gene in a high-throughout screen; YMR279C is not an essential gene
YDR005C	MAF1	0.6	7	NA	0.954	Negative regulator of RNA polymerase III; component of several signaling pathways that repress polymerase III transcription in response to changes in cellular environment; targets the initiation factor TFIIIB
YLR296W	YLR296W	0.5998	NA	NA	0.924	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YHR050W	SMF2	0.5998	NA	NA	0.974	Divalent metal ion transporter involved in manganese homeostasis; has broad specificity for di-valent and tri-valent metals; post-translationally regulated by levels of metal ions; member of the Nramp family of metal transport proteins
YDL002C	NHP10	0.5996	21	5	0.779	Protein related to mammalian high mobility group proteins; likely component of the INO80 complex, which is an ATP-dependent chromatin-remodeling complex
YOR365C	YOR365C	0.5996	1	NA	1.035	Putative protein of unknown function; YOR365C is not an essential protein
YDR293C	SSD1	0.5994	13	16	0.967	Protein with a role in maintenance of cellular integrity, interacts with components of the TOR pathway; ssd1 mutant of a clinical S. cerevisiae strain displays elevated virulence
YNL098C	RAS2	0.5993	3	18	1.021	GTP-binding protein that regulates the nitrogen starvation response, sporulation, and filamentous growth; farnesylation and palmitoylation required for activity and localization to plasma membrane; homolog of mammalian Ras proto-oncogenes
YML104C	MDM1	0.5992	NA	NA	1.056	Intermediate filament protein, required for nuclear and mitochondrial transmission to daughter buds; contains a Phox homology (PX) domain and specifically binds phosphatidylinositol 3-phosphate (PtdIns-3-P)
YPR151C	SUE1	0.5987	1	NA	1.077	Mitochondrial protein required for degradation of unstable forms of cytochrome c
YBR059C	AKL1	0.5987	6	1	NA	Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization
YPL253C	VIK1	0.5987	1	11	1.062	Protein that forms a complex with Kar3p at the spindle pole body, possible regulator of Kar3p function in microtubule-mediated processes; required for sister chromatid cohesion; has similarity to Cik1p
YBR159W	IFA38	0.5984	14	1	NA	Microsomal beta-keto-reductase; contains oleate response element (ORE) sequence in the promoter region; mutants exhibit reduced VLCFA synthesis, accumulate high levels of dihydrosphingosine, phytosphingosine and medium-chain ceramides
YER135C	YER135C	0.5981	NA	NA	1.032	Dubious open reading frame unlikely to encode a protein; YER135C is not an essential gene
YGL043W	DST1	0.5981	12	46	0.883	General transcription elongation factor TFIIS, enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites
YPL039W	YPL039W	0.5981	NA	NA	0.995	Putative protein of unknown function; YPL039W is not an essential gene
YER024W	YAT2	0.598	NA	NA	0.996	Carnitine acetyltransferase; has similarity to Yat1p, which is a carnitine acetyltransferase associated with the mitochondrial outer membrane
YBR203W	COS111	0.5979	2	NA	1.052	Protein required for resistance to the antifungal drug ciclopirox olamine; not related to the subtelomerically-encoded COS family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YGL032C	AGA2	0.5974	NA	NA	1.055	Adhesion subunit of a-agglutinin of a-cells, C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds
YGR008C	STF2	0.5974	NA	NA	1.011	Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p act as stabilizing factors that enhance inhibitory action of the Inh1p protein
YML016C	PPZ1	0.5974	7	5	0.99	Serine/threonine protein phosphatase Z, isoform of Ppz2p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance
YBR213W	MET8	0.5973	NA	NA	0.97	Bifunctional dehydrogenase and ferrochelatase, involved in the biosynthesis of siroheme; also involved in the expression of PAPS reductase and sulfite reductase
YNL303W	YNL303W	0.5973	NA	NA	1.105	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YGL035C	MIG1	0.5972	8	NA	1.077	Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase
YBR030W	YBR030W	0.5972	3	1	1.027	Putative protein of unknown function; predicted protein contains a SET domain (S-adenosyl-L-methionine-binding fold)
YML120C	NDI1	0.5971	NA	NA	1.045	NADH:ubiquinone oxidoreductase, transfers electrons from NADH to ubiquinone in the respiratory chain but does not pump protons, in contrast to the higher eukaryotic multisubunit respiratory complex I; homolog of human AMID
YLR070C	XYL2	0.5971	NA	NA	1.019	Xylitol dehydrogenase, converts xylitol to D-xylulose in the endogenous xylose utilization pathway
YFR046C	CNN1	0.5967	NA	NA	0.978	Kinetochore protein of unknown function; associated with the essential kinetochore proteins Nnf1p and Spc24p; phosphorylated by both Clb5-Cdk1 and, to a lesser extent, Clb2-Cdk1.
YHR029C	YHI9	0.5966	10	NA	0.996	Protein of unknown function that is a member of the PhzF superfamily, although unlike its bacterial homolog, is most likely not involved in phenazine production; possibly involved in a membrane regulation metabolic pathway
YGR248W	SOL4	0.5966	1	NA	0.999	6-phosphogluconolactonase with similarity to Sol3p
YLR413W	YLR413W	0.5964	2	NA	1.014	Putative protein of unknown function; YLR413W is not an essential gene
YKR073C	YKR073C	0.5964	NA	NA	0.951	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YBL048W	YBL048W	0.5964	NA	NA	0.982	Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data
YBR040W	FIG1	0.5956	NA	NA	1.015	Integral membrane protein required for efficient mating; may participate in or regulate the low affinity Ca2+ influx system, which affects intracellular signaling and cell-cell fusion during mating
YBR183W	YPC1	0.5956	NA	NA	1.047	Alkaline ceramidase that also has reverse (CoA-independent) ceramide synthase activity, catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance
YLR432W	IMD3	0.5954	74	NA	0.981	Inosine monophosphate dehydrogenase, catalyzes the first step of GMP biosynthesis, member of a four-gene family in S. cerevisiae, constitutively expressed
YOL147C	PEX11	0.5954	NA	2	1.094	Peroxisomal membrane protein required for peroxisome proliferation and medium-chain fatty acid oxidation, most abundant protein in the peroxisomal membrane, regulated by Adr1p and Pip2p-Oaf1p, promoter contains ORE and UAS1-like elements
YMR243C	ZRC1	0.5952	NA	NA	1.03	Vacuolar membrane zinc transporter, transports zinc from the cytosol into the vacuole for storage; also has a role in resistance to zinc shock resulting from a sudden influx of zinc into the cytoplasm
YLR203C	MSS51	0.595	8	NA	0.91	Nuclear encoded protein required for translation of COX1 mRNA; binds to Cox1 protein
YOR152C	YOR152C	0.595	NA	NA	1.015	Hypothetical protein
YML106W	URA5	0.5949	5	NA	1.046	One of two orotate phosphoribosyltransferase isozymes (see also URA10) that catalyze the fifth enzymatic step in de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate
YOL001W	PHO80	0.5948	3	2	0.726	Cyclin, negatively regulates phosphate metabolism; Pho80p-Pho85p (cyclin-CDK complex) phosphorylates Pho4p and Swi5p; deletion of PHO80 leads to aminoglycoside supersensitivity; truncated form of PHO80 affects vacuole inheritance
YOR303W	CPA1	0.5947	3	NA	0.822	Small subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor; translationally regulated by an attenuator peptide encoded by YOR302W within the CPA1 mRNA 5'-leader
YHR204W	MNL1	0.5946	4	1	1.003	Alpha mannosidase-like protein of the endoplasmic reticulum required for degradation of glycoproteins but not for processing of N-linked oligosaccharides
YDR395W	SXM1	0.5945	12	NA	1.061	Nuclear transport factor (karyopherin) involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1
YPL248C	GAL4	0.5944	NA	NA	1.08	DNA-binding transcription factor required for the activation of the GAL genes in response to galactose; repressed by Gal80p and activated by Gal3p
YPR170C	YPR170C	0.5943	NA	NA	0.968	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORFs YPR169W-A and YPR170W-B
YOL032W	OPI10	0.594	NA	NA	0.987	Protein with a possible role in phospholipid biosynthesis, based on inositol-excreting phenotype of the null mutant and its suppression by exogenous choline
YER119C-A	YER119C-A	0.5938	NA	NA	0.878	Dubious open reading frame, not conserved in closely related Saccharomyces species; deletion mutation blocks replication of Brome mosaic virus in S. cerevisiae, but this is likely due to effects on the overlapping gene SCS2
YGL033W	HOP2	0.5937	NA	2	1.141	Meiosis-specific protein that localizes to chromosomes, preventing synapsis between nonhomologous chromosomes and ensuring synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair
YGR236C	SPG1	0.5928	NA	NA	0.972	Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YGR149W	YGR149W	0.5928	NA	NA	1.036	Putative protein of unknown function; predicted to be an integal membrane protein
YER177W	BMH1	0.5927	38	11	0.926	14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling
YLR380W	CSR1	0.5927	5	NA	1.036	Phosphatidylinositol transfer protein with a potential role in lipid turnover; interacts specifically with thioredoxin peroxidase (Tsa2p) and may have a role in oxidative stress resistance
YPL273W	SAM4	0.5926	NA	NA	1.012	S-adenosylmethionine-homocysteine methyltransferase, functions along with Mht1p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio
